parcl_id,date,rental_price_feed
5826765,2024-06-05,1.474
5826765,2024-06-04,1.473
5826765,2024-06-03,1.471
5826765,2024-06-02,1.47
5826765,2024-06-01,1.47
5826765,2024-05-31,1.471
5826765,2024-05-30,1.471
5826765,2024-05-29,1.472
5826765,2024-05-28,1.473
5826765,2024-05-27,1.474
5826765,2024-05-26,1.474
5826765,2024-05-25,1.475
5826765,2024-05-24,1.475
5826765,2024-05-23,1.475
5826765,2024-05-22,1.475
5826765,2024-05-21,1.475
5826765,2024-05-20,1.475
5826765,2024-05-19,1.475
5826765,2024-05-18,1.475
5826765,2024-05-17,1.475
5826765,2024-05-16,1.475
5826765,2024-05-15,1.475
5826765,2024-05-14,1.475
5826765,2024-05-13,1.475
5826765,2024-05-12,1.475
5826765,2024-05-11,1.475
5826765,2024-05-10,1.476
5826765,2024-05-09,1.476
5826765,2024-05-08,1.477
5826765,2024-05-07,1.478
5826765,2024-05-06,1.479
5826765,2024-05-05,1.479
5826765,2024-05-04,1.479
5826765,2024-05-03,1.479
5826765,2024-05-02,1.479
5826765,2024-05-01,1.478
5826765,2024-04-30,1.477
5826765,2024-04-29,1.476
5826765,2024-04-28,1.476
5826765,2024-04-27,1.475
5826765,2024-04-26,1.474
5826765,2024-04-25,1.474
5826765,2024-04-24,1.473
5826765,2024-04-23,1.472
5826765,2024-04-22,1.471
5826765,2024-04-21,1.469
5826765,2024-04-20,1.469
5826765,2024-04-19,1.468
5826765,2024-04-18,1.467
5826765,2024-04-17,1.467
5826765,2024-04-16,1.466
5826765,2024-04-15,1.466
5826765,2024-04-14,1.465
5826765,2024-04-13,1.464
5826765,2024-04-12,1.464
5826765,2024-04-11,1.464
5826765,2024-04-10,1.464
5826765,2024-04-09,1.464
5826765,2024-04-08,1.464
5826765,2024-04-07,1.464
5826765,2024-04-06,1.465
5826765,2024-04-05,1.466
5826765,2024-04-04,1.466
5826765,2024-04-03,1.466
5826765,2024-04-02,1.466
5826765,2024-04-01,1.467
5826765,2024-03-31,1.468
5826765,2024-03-30,1.469
5826765,2024-03-29,1.469
5826765,2024-03-28,1.469
5826765,2024-03-27,1.469
5826765,2024-03-26,1.469
5826765,2024-03-25,1.469
5826765,2024-03-24,1.47
5826765,2024-03-23,1.469
5826765,2024-03-22,1.469
5826765,2024-03-21,1.469
5826765,2024-03-20,1.469
5826765,2024-03-19,1.469
5826765,2024-03-18,1.468
5826765,2024-03-17,1.466
5826765,2024-03-16,1.465
5826765,2024-03-15,1.464
5826765,2024-03-14,1.464
5826765,2024-03-13,1.462
5826765,2024-03-12,1.461
5826765,2024-03-11,1.459
5826765,2024-03-10,1.457
5826765,2024-03-09,1.456
5826765,2024-03-08,1.456
5826765,2024-03-07,1.454
5826765,2024-03-06,1.453
5826765,2024-03-05,1.451
5826765,2024-03-04,1.449
5826765,2024-03-03,1.449
5826765,2024-03-02,1.449
5826765,2024-03-01,1.449
5826765,2024-02-29,1.449
5826765,2024-02-28,1.45
5826765,2024-02-27,1.451
5826765,2024-02-26,1.451
5826765,2024-02-25,1.453
5826765,2024-02-24,1.454
5826765,2024-02-23,1.454
5826765,2024-02-22,1.454
5826765,2024-02-21,1.455
5826765,2024-02-20,1.456
5826765,2024-02-19,1.456
5826765,2024-02-18,1.456
5826765,2024-02-17,1.456
5826765,2024-02-16,1.456
